Timestamp,Transcript
[00:00:20]:,Starting with reading the prompt note
[00:01:05]:,"""I want to start with the illigal arms"""
[00:01:07]:,"Searching for ""Illigal arms"""
[00:01:07]:,User changed the topic: (Looking for illigal arms and government dealings) [bottom-up]
[00:01:19]:,Picking a document from last search
[00:01:40]:,"Highlighting ""Ilyushin IL-76"""
[00:01:55]:,"Highlighting ""Bankog"""
[00:02:09]:,"Highlighting ""Arkadi Borodinskii"""
[00:02:30]:,Picking a document from last search
[00:02:56]:,"""Here we have some violations"""
[00:03:33]:,"Highlighting ""Narok"""
[00:03:43]:,"Highlighting ""There was some deal-making between some officers"""
[00:03:50]:,Still reading the document
[00:04:15]:,"Highlighting ""Wanjohi Onyango Thabiti Otieno and wife Nahid Owiti"""
[00:04:15]:,"""I got some ones names here"""
[00:05:06]:,"Highlighting ""Kenyan"""
[00:05:20]:,"Highlighting ""Minister Jimiyu Michieka"""
[00:05:29]:,Picking a document from last search
[00:05:38]:,"Highlighting ""Saudi Arabia"""
[00:06:13]:,"""Beside many governmet dealings so far, there noting I can connect to the disease yet"""
[00:06:36]:,"""Ok, here is mentions weapons"""
[00:06:42]:,"Highlighting ""large shipment of weapons"""
[00:06:50]:,"Highlighting ""Dafa Valey"""
[00:07:05]:,"Highlighting ""Mr, Haik Hosain"""
[00:07:27]:,"""I'm going to continue with this place"""
[00:07:27]:,"Searching for ""Dafa Valey"""
[00:07:33]:,"""Oops, guess there's only one"""
[00:07:46]:,"Searching for ""Haik Hosain"""
[00:08:10]:,"Searching for ""Michieka"""
[00:08:23]:,Picking a document from last search
[00:08:23]:,Making connection between two documents
[00:08:52]:,Still reading the document
[00:09:10]:,Still reading the document
[00:09:31]:,Still reading the document
[00:09:39]:,"Highlighting ""Michieka"""
[00:09:53]:,"Highlighting ""I am not privy to information about how the force keeps its records or secures the armoury"""
[00:10:03]:,"""I couldn't find anything about disease yet so I might start work with some other and trying to be in the middle"""
[00:10:14]:,User changed the topic: (Looking for source of disease) [bottom-up]
[00:10:14]:,"Searching for ""Pendemic"""
[00:10:20]:,"Searching for ""Disease"""
[00:10:32]:,"""Ok, not results, I'm starting from 2009"""
[00:10:48]:,Looking through titles
[00:11:22]:,Looking through titles
[00:11:40]:,"""It's started in Nigeria so lets look at there"""
[00:11:40]:,"Searching for ""Nigeria"""
[00:11:50]:,"""I'm going to start with the latest one"""
[00:12:01]:,Picking a document from last search
[00:12:07]:,"Highlighting ""Leonid Minsky"""
[00:12:07]:,User changed the topic: (Looking for information on Minsky) [bottom-up]
