Timestamp,Transcript
[00:00:17]:,User starts the study with reading the prompt note
[00:01:39]:,Still reading the prompt
[00:01:47]:,"Searching for ""Terrorist"""
[00:01:44]:,User changed the topic: (Looking for terrorist activities) [bottom-up]
[00:01:51]:,"Picking a document in title ""May 2011 DHS Foils Plot"""
[00:02:13]:,Still reading the document
[00:02:46]:,"""I just searched the word terrorist from the prompt ro see if there's any in these articles. now I'm reading the first one. I might search Washington next cause it says it is a targeted place and then also this this organization called network of dread? I guess has something to do with this"""
[00:04:15]:,Still reading the document
[00:04:40]:,"Picking a document in title ""December 2009 The Americas Surprise!"""
[00:05:06]:,Still reading the document
[00:05:30]:,"Picking a document in title ""May 2011 Explosions at Smogtown Chemical Plant Explosions at Smogtown Chemical Plant """
[00:05:55]:,Still reading the document
[00:06:14]:,"""I dont think this one is useful. They're talking about past terrorists that used to be in the area. So I dont think it relevant"""
[00:06:14]:,"Picking a document in title ""May 2011 Alleged Trade Center Bomber Convicted of Plotting Air """
[00:06:52]:,Still reading the document
[00:07:22]:,"""So. Is this Vastapolis an actual place? non of these documents are talking about the city. they're about old days"""
[00:07:49]:,"""I'm goint to search for the city then"""
[00:07:49]:,"Searching for ""Vastopolis"""
[00:07:45]:,User changed the topic: (Looking for citations about the city) [bottom-up]
[00:08:00]:,"Moving ""May 2011 DHS Foils Plot"" document aside"
[00:08:05]:,Looking through search results and looking at the dates
[00:08:34]:,Picking a document about investments and stocks
[00:08:58]:,Still reading the document
[00:09:27]:,Still reading the document
[00:09:55]:,Still reading the document
[00:10:20]:,Still reading the document
[00:10:40]:,Looking through topics
[00:10:49]:,"Picking a document in title ""Canada Issues Alert On Dental Amalgam"""
[00:11:07]:,"Picking a document in title ""March 2011 Not All Security Levels Are Created Equal"""
[00:11:37]:,Still reading the document
[00:12:04]:,Still reading the document
[00:12:25]:,"Highlighting ""But even the tightest U.S. security is weaker than those at major airports like Vastopolis Airport for example"""
[00:12:28]:,"""this one is really long. but I highlighted something that said Vastapolic has an airport. I didn't know that. It says even the security is tight but they'rekind of weak. That can be why they bomb because the security isn't that good"""
[00:13:16]:,"Picking a document in title ""March 2011 Johnetta Seaton"""
[00:13:47]:,"Highlighting ""Johnetta Seaton"""
[00:14:00]:,Still reading the document
[00:14:19]:,Still reading the document
[00:14:23]:,"Highlighting ""That's 44 inches short of the world record held by 30-year-old Raquel Roy of the U.S. who is also a member of the American squad"
[00:14:30]:,"Picking a document in title ""March 2011 Tractor Makers Stage Showdowns for Farmers Tractor Makers Stage Showdowns for Farmers"""
[00:14:49]:,Still reading the document
[00:15:28]:,"Picking a document in title ""March 2011 Peter Will Move U.S. Troops In Middle East to Secure Areas"""
[00:16:16]:,Still reading the document
[00:16:47]:,Still reading the document
[00:17:10]:,"Picking a document in title ""April 2011 Vail Doster Are Ousted At Connecticut Tennis Event"""
[00:17:15]:,"Picking a document in title ""April 2011 Wage and Price Controls: 25 Years Later """
[00:17:26]:,Looking through titles
[00:17:29]:,"""I'm not geting anywhere with searching for Vastapolice. So I'm gonnig go back for what I'm doing before"""
[00:17:33]:,"Searching for ""threats"""
[00:17:30]:,User changed the topic: (Looking for Threats and suspicious activities in other places) [bottom-up]
[00:17:41]:,"Picking a document in title ""April 2011 Update on Animal Deaths"""
[00:17:45]:,"""It seems to be a newspaper article"""
[00:18:07]:,Still reading the document
[00:18:25]:,"Picking a document in title ""March 2011 Peter Will Move U.S. Troops In Middle East to Secure Areas"""
[00:18:30]:,"Picking a document in title ""May 2011 as Threat Grows U.S."""
[00:18:53]:,Still reading the document
[00:18:59]:,"Picking a document in title ""May 2011 threatening emails sent to VastPress"""
[00:19:35]:,"Searching for ""terrorist"""
[00:19:44]:,"Picking a document in title ""May 2011 U.S. Antiterrorism Effort Is Flawed as Threat Grows"""
[00:19:45]:,"""I'm reading these documents. but haven't seen anything that say like bombs or real threats. Maybe I need to search for bomb"""
[00:20:15]:,User changed the topic: (Looking for bomb Threats ) [bottom-up]
[00:20:18]:,"Searching for ""Bomb"""
[00:20:27]:,"Picking a document in title ""May 2011 Bomb Makers Apprehended"""
[00:20:40]:,"""There's Psychobrotherhood group"""
[00:20:53]:,Still reading the document
[00:21:05]:,"""Maybe I found something. these people have material to create exposive devices and they're from some place. I'm gonno comeback to this again"""
[00:21:42]:,"Writing a new note: ""Smogtown two men had material to create explosive devices"""
[00:22:20]:,Making connection between the document and the note
[00:22:33]:,"Highlighting ""Smogtown two men with enough material to construct several explosive devices were apprehended before the devices were completed."""
[00:22:40]:,"Highlighting ""Psychobrotherhood"""
[00:22:53]:,Moving the document close to its note
[00:23:09]:,"Picking a document in title ""March 2011 Hollywood Hopefuls Look Hard At Turner's New Line Cinema"""
[00:23:35]:,"Picking a document in title ""April 2011 Bomb Blast Kills Nine """
[00:23:55]:,Still reading the document
[00:24:21]:,Still reading the document
[00:24:43]:,Still reading the document
[00:25:10]:,Still reading the document
[00:25:20]:,"""This one is about a bomb blast. which killed nine people in Pakistani airport.But it does mentioned other bombing that have happend. It says Prime minister is accused for some bombings. So maybe if I look for him it helps t ofind who is behind Vastapolice events"""
[00:26:14]:,"""But I'm going to continue searching for bomb and come for these ones later"""
[00:26:22]:,"Writing a new note: ""Bomb kills nine people in Pakistan airport. Has someone who could have been part of other bombings."
[00:27:11]:,"Highlighting ""The bomb was slipped through airport security inside a briefcase and exploded near a telephone booth by the main departure lounge investigators told the official Pakistani news agency. It blew up as Pakistan International Airlines Flight 315 was leaving"""
[00:27:24]:,"Highlighting ""Prime Minister Brooks Rupe has accused of orchestrating the bombing spree in a bid to destabilizemost populous province."""
[00:27:26]:,Making connection between the document and the new note
[00:27:50]:,"Picking a document in title ""April 2011 Court Papers Link Unabomber To Another Blast After Arrest"""
[00:28:33]:,Still reading the document
[00:29:03]:,Still reading the document
